names,x,y,pred,correct_label,batch,manual_label,colors,custom_data,x2,y2,x3,y3,D1,D4,D7,thumbnails
image (250).JPG,-40.821188813102346,-19.13856809107393,36,36,batch_0006,36,37,0,0,0,0,0,0,0,0,image (250).JPG
image (250).JPG,-40.821188813102346,-19.13856809107393,36,36,batch_0006,36,37,1,0,0,0,0,0,0,0,image (250).JPG
image (250).JPG,-40.821188813102346,-19.13856809107393,36,36,batch_0006,36,37,2,0,0,0,0,0,0,0,image (250).JPG
image (250).JPG,-40.821188813102346,-19.13856809107393,36,36,batch_0006,36,37,3,0,0,0,0,0,0,0,image (250).JPG
image (250).JPG,-40.821188813102346,-19.13856809107393,36,36,batch_0006,36,37,4,0,0,0,0,0,0,0,image (250).JPG
image (2877).JPG,-1.1605968544369054,17.29129428313746,6,6,batch_0006,6,7,5,0,0,0,0,0,0,0,image (2877).JPG
image (3651).JPG,43.78790453240113,0.4842388651394373,6,6,batch_0006,6,7,6,0,0,0,0,0,0,0,image (3651).JPG
image (334).JPG,0.8935054197169549,-36.36931432034739,6,6,batch_0006,6,7,7,0,0,0,0,0,0,0,image (334).JPG
image (334).JPG,0.8935054197169549,-36.36931432034739,6,6,batch_0006,6,7,8,0,0,0,0,0,0,0,image (334).JPG
image (334).JPG,0.8935054197169549,-36.36931432034739,6,6,batch_0006,6,7,9,0,0,0,0,0,0,0,image (334).JPG
image (334).JPG,0.8935054197169549,-36.36931432034739,6,6,batch_0006,6,7,10,0,0,0,0,0,0,0,image (334).JPG
image (334).JPG,0.8935054197169549,-36.36931432034739,6,6,batch_0006,6,7,11,0,0,0,0,0,0,0,image (334).JPG
image (334).JPG,0.8935054197169549,-36.36931432034739,6,6,batch_0006,6,7,12,0,0,0,0,0,0,0,image (334).JPG
image (1764).JPG,53.50897728183927,-15.9976964539063,36,36,batch_0006,36,37,13,0,0,0,0,0,0,0,image (1764).JPG
image (4754).JPG,-49.13783769958912,-2.6072339592405536,29,29,batch_0006,29,30,14,0,0,0,0,0,0,0,image (4754).JPG
image (4754).JPG,-49.13783769958912,-2.6072339592405536,29,29,batch_0006,29,30,15,0,0,0,0,0,0,0,image (4754).JPG
image (61).JPG,-12.576366267937503,-13.685730079057029,6,6,batch_0006,6,7,16,0,0,0,0,0,0,0,image (61).JPG
image (61).JPG,-12.576366267937503,-13.685730079057029,6,6,batch_0006,6,7,17,0,0,0,0,0,0,0,image (61).JPG
image (61).JPG,-12.576366267937503,-13.685730079057029,6,6,batch_0006,6,7,18,0,0,0,0,0,0,0,image (61).JPG
image (61).JPG,-12.576366267937503,-13.685730079057029,6,6,batch_0006,6,7,19,0,0,0,0,0,0,0,image (61).JPG
image (1483).JPG,-1.0453718142572426,29.501964300556985,2,2,batch_0006,2,3,20,0,0,0,0,0,0,0,image (1483).JPG
image (1483).JPG,-1.0453718142572426,29.501964300556985,2,2,batch_0006,2,3,21,0,0,0,0,0,0,0,image (1483).JPG
image (692).jpg,16.81397549276812,-35.089629119518705,2,2,batch_0006,2,3,22,0,0,0,0,0,0,0,image (692).jpg
image (2078).JPG,-5.566885136239428,12.640936365359147,6,6,batch_0006,6,7,23,0,0,0,0,0,0,0,image (2078).JPG
image (3222).JPG,39.48727380513563,-21.916384526928248,4,4,batch_0006,4,5,24,0,0,0,0,0,0,0,image (3222).JPG
image (3222).JPG,39.48727380513563,-21.916384526928248,4,4,batch_0006,4,5,25,0,0,0,0,0,0,0,image (3222).JPG
image (1273).JPG,-2.5307684449343,-0.068435739229074,6,6,batch_0006,6,7,26,0,0,0,0,0,0,0,image (1273).JPG
image (1273).JPG,-2.5307684449343,-0.068435739229074,6,6,batch_0006,6,7,27,0,0,0,0,0,0,0,image (1273).JPG
image (623).JPG,-24.150251856924065,-17.657842751177405,6,6,batch_0006,6,7,28,0,0,0,0,0,0,0,image (623).JPG
image (623).JPG,-24.150251856924065,-17.657842751177405,6,6,batch_0006,6,7,29,0,0,0,0,0,0,0,image (623).JPG
image (623).JPG,-24.150251856924065,-17.657842751177405,6,6,batch_0006,6,7,30,0,0,0,0,0,0,0,image (623).JPG
image (623).JPG,-24.150251856924065,-17.657842751177405,6,6,batch_0006,6,7,31,0,0,0,0,0,0,0,image (623).JPG
image (623).JPG,-24.150251856924065,-17.657842751177405,6,6,batch_0006,6,7,32,0,0,0,0,0,0,0,image (623).JPG
image (623).JPG,-24.150251856924065,-17.657842751177405,6,6,batch_0006,6,7,33,0,0,0,0,0,0,0,image (623).JPG
