names,x,y,pred,correct_label,batch,manual_label,colors,custom_data,x2,y2,x3,y3,D1,D4,D7,thumbnails
image (77).JPG,-1.8894749921239573,-24.299648067258964,6,6,batch_0004,6,7,0,0,0,0,0,0,0,0,image (77).JPG
image (77).JPG,-1.8894749921239573,-24.299648067258964,6,6,batch_0004,6,7,1,0,0,0,0,0,0,0,image (77).JPG
image (77).JPG,-1.8894749921239573,-24.299648067258964,6,6,batch_0004,6,7,2,0,0,0,0,0,0,0,image (77).JPG
image (77).JPG,-1.8894749921239573,-24.299648067258964,6,6,batch_0004,6,7,3,0,0,0,0,0,0,0,image (77).JPG
image (77).JPG,-1.8894749921239573,-24.299648067258964,6,6,batch_0004,6,7,4,0,0,0,0,0,0,0,image (77).JPG
image (520).jpg,34.21065923913841,-55.270962013367466,4,4,batch_0004,4,5,5,0,0,0,0,0,0,0,image (520).jpg
image (2095).JPG,5.028188683607565,-35.842236768798,4,4,batch_0004,4,5,6,0,0,0,0,0,0,0,image (2095).JPG
image (2095).JPG,5.028188683607565,-35.842236768798,4,4,batch_0004,4,5,7,0,0,0,0,0,0,0,image (2095).JPG
image (2339).JPG,-47.78276955529216,9.690392591792486,6,6,batch_0004,6,7,8,0,0,0,0,0,0,0,image (2339).JPG
image (1132).JPG,23.874277936003807,-42.38214596907897,4,4,batch_0004,4,5,9,0,0,0,0,0,0,0,image (1132).JPG
image (1132).JPG,23.874277936003807,-42.38214596907897,4,4,batch_0004,4,5,10,0,0,0,0,0,0,0,image (1132).JPG
image (1056).JPG,45.04117400126677,-30.51062403784624,36,36,batch_0004,36,37,11,0,0,0,0,0,0,0,image (1056).JPG
image (1056).JPG,45.04117400126677,-30.51062403784624,36,36,batch_0004,36,37,12,0,0,0,0,0,0,0,image (1056).JPG
image (1056).JPG,45.04117400126677,-30.51062403784624,36,36,batch_0004,36,37,13,0,0,0,0,0,0,0,image (1056).JPG
image (759).JPG,47.73385892466199,9.993313050653898,6,6,batch_0004,6,7,14,0,0,0,0,0,0,0,image (759).JPG
image (759).JPG,47.73385892466199,9.993313050653898,6,6,batch_0004,6,7,15,0,0,0,0,0,0,0,image (759).JPG
image (759).JPG,47.73385892466199,9.993313050653898,6,6,batch_0004,6,7,16,0,0,0,0,0,0,0,image (759).JPG
image (759).JPG,47.73385892466199,9.993313050653898,6,6,batch_0004,6,7,17,0,0,0,0,0,0,0,image (759).JPG
image (759).JPG,47.73385892466199,9.993313050653898,6,6,batch_0004,6,7,18,0,0,0,0,0,0,0,image (759).JPG
image (889).JPG,44.08117326917614,-36.67302428584114,2,2,batch_0004,2,3,19,0,0,0,0,0,0,0,image (889).JPG
image (889).JPG,44.08117326917614,-36.67302428584114,2,2,batch_0004,2,3,20,0,0,0,0,0,0,0,image (889).JPG
image (889).JPG,44.08117326917614,-36.67302428584114,2,2,batch_0004,2,3,21,0,0,0,0,0,0,0,image (889).JPG
image (889).JPG,44.08117326917614,-36.67302428584114,2,2,batch_0004,2,3,22,0,0,0,0,0,0,0,image (889).JPG
image (591).JPG,32.48882106554092,10.198863774267892,2,2,batch_0004,2,3,23,0,0,0,0,0,0,0,image (591).JPG
image (591).JPG,32.48882106554092,10.198863774267892,2,2,batch_0004,2,3,24,0,0,0,0,0,0,0,image (591).JPG
image (1179).JPG,10.520019773280112,1.6364368335219426,29,29,batch_0004,29,30,25,0,0,0,0,0,0,0,image (1179).JPG
